ranking,bookname,authors
175,실패를 사랑하는 직업 :요조 산문 ,지은이: 요조
175,작가들의 비밀스러운 삶 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란
175,인생은 소설이다 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란
175,숙명 ,히가시노 게이고 지음 ;권남희 옮김
179,넛지 :똑똑한 선택을 이끄는 힘 ,"리처드 탈러,안진환 옮김"
179,천문학자는 별을 보지 않는다 ,심채경 지음
179,트라우마 사전 :작가를 위한 캐릭터 창조 가이드 ,"안젤라 애커만,임상훈 옮김"
182,"나는 풍요로웠고, 지구는 달라졌다 ",지은이: 호프 자런 ;옮긴이: 김은령
182,항구의 사랑 :김세희 장편소설 ,지은이: 김세희
182,돈으로 살 수 없는 것들 :무엇이 가치를 결정하는가 ,지은이: 마이클 샌델 ;옮긴이: 안기순
185,두 번째 엔딩 ,"지은이: 김려령,백온유"
185,내일을 위한 내 일 :이다혜 인터뷰집 ,지은이: 이다혜
185,복자에게 :김금희 장편소설 ,지은이: 김금희
185,방구석 미술관,조원재 지음
185,"박막례, 이대로 죽을 순 없다 :독보적 유튜버 박막례와 천재 PD 손녀 김유라의 말도 안 되게 뒤집힌 신나는 인생! ","박막례,김유라 지음"
190,버드 스트라이크 :구병모 장편소설 ,지은이: 구병모
190,요리코를 위해 :노리즈키 린타로 장편소설 ,지은이: 노리즈키 린타로 ;옮긴이: 이기웅
190,아침에는 죽음을 생각하는 것이 좋다 ,지은이: 김영민
190,우리는 이 별을 떠나기로 했어 ,"지은이: 천선란,이루카"
190,"안녕, 소중한 사람 :정한경 에세이 ",지은이: 정한경
195,심판 ,베르나르 베르베르 지음 ;전미연 옮김
195,오베라는 남자 :프레드릭 배크만 장편소설 ,지은이: 프레드릭 배크만 ;옮긴이: 최민우
195,외국어 학습·교수의 원리 ,지은이: H. Douglas Brown ;이성희
195,열두 발자국 ,지은이: 정재승
199,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계 ,유목민 지음
199,미 비포 유 ,조조 모예스 지음 ;김선형 옮김
